0,50,587
1,43,758
2,47,344
3,12,166
4,25,969
5,41,982
6,44,768
7,32,198
8,30,207
9,32,178
10,15,385
11,38,324
12,50,218
13,34,463
14,48,894
15,14,192
16,24,874
17,4,194
18,2,324
19,17,556
20,9,81
21,33,628
22,12,632
23,22,866
24,20,425
25,26,273
26,6,127
27,25,714
28,15,972
29,30,238
30,39,689
31,21,200
32,37,119
33,35,897
34,26,702
35,23,998
36,36,838
37,31,368
38,39,782
39,41,578
40,32,889
41,15,720
42,16,152
43,49,848
44,19,65
45,48,638
46,22,1000
47,2,78
48,30,414
49,28,376
50,45,189
51,31,771
52,31,829
53,17,98
54,5,914
55,9,474
56,24,126
57,6,384
58,8,111
59,45,513
60,1,318
61,14,877
62,35,713
63,17,292
64,41,742
65,45,742
66,42,415
67,40,543
68,23,197
69,29,551
70,49,356
71,36,214
72,6,690
73,39,50
74,40,303
75,22,501
76,44,640
77,22,448
78,34,199
79,35,308
80,32,606
81,48,982
82,41,479
83,44,255
84,14,987
85,13,612
86,23,750
87,11,436
88,15,665
89,23,509
90,23,681
91,49,819
92,27,507
93,31,785
94,34,116
95,49,738
96,41,403
97,4,837
98,38,493
99,13,935
100,21,75
101,1,525
102,19,799
103,39,614
104,43,547
105,43,452
106,22,752
107,14,75
108,1,477
109,29,565
110,35,860
111,10,980
112,40,155
113,43,228
114,47,982
115,14,73
116,4,829
117,38,154
118,33,511
119,44,327
120,14,604
121,14,381
122,23,754
123,43,106
124,10,761
125,7,117
126,48,875
127,48,393
128,8,942
129,47,641
130,32,871
131,9,637
132,18,781
133,47,593
134,15,156
135,31,804
136,18,433
137,19,971
138,41,292
139,8,994
140,30,732
141,29,868
142,47,500
143,50,128
144,3,128
145,40,749
146,49,949
147,26,557
148,30,431
149,17,318
150,9,923
151,3,632
152,19,529
153,1,532
154,30,422
155,20,158
156,2,601
157,27,414
158,21,144
159,24,176
160,19,125
161,2,313
162,25,67
163,41,928
164,4,652
165,17,59
166,20,435
167,27,917
168,7,285
169,3,528
170,47,642
171,14,615
172,11,991
173,30,868
174,25,694
175,18,668
176,31,384
177,10,128
178,22,98
179,36,237
180,50,235
181,33,818
182,26,688
183,1,662
184,48,533
185,16,326
186,21,975
187,16,890
188,31,460
189,17,520
190,24,971
191,16,308
192,19,909
193,35,990
194,46,975
195,33,847
196,2,866
197,34,342
198,38,559
199,29,847
200,3,846
201,11,834
202,47,652
203,28,767
204,18,273
205,22,665
206,28,130
207,29,272
208,38,788
209,39,902
210,8,812
211,10,852
212,39,99
213,12,805
214,27,87
215,24,623
216,18,891
217,3,287
218,7,109
219,38,995
220,34,939
221,16,525
222,14,180
223,37,456
224,15,256
225,9,418
226,14,57
227,50,620
228,25,756
229,20,967
230,33,998
231,27,854
232,1,475
233,23,209
234,5,842
235,37,293
236,35,857
237,14,271
238,33,844
239,20,728
240,9,347
241,31,163
242,19,436
243,3,679
244,26,56
245,20,799
246,31,382
247,18,731
248,28,940
249,12,554
250,40,865
251,24,390
252,38,724
253,35,585
254,46,168
255,1,491
256,41,75
257,32,590
258,42,143
259,27,263
260,43,140
261,12,747
262,19,872
263,26,849
264,10,483
265,5,682
266,20,482
267,17,857
268,39,319
269,36,505
270,43,234
271,39,513
272,23,342
273,13,604
274,40,207
275,29,72
276,21,968
277,5,305
278,39,853
279,45,744
280,19,281
281,48,403
282,10,672
283,2,382
284,18,656
285,22,54
286,43,450
287,1,864
288,1,314
289,4,344
290,25,908
291,40,74
292,32,678
293,25,782
294,31,861
295,35,342
296,13,147
297,16,515
298,15,553
299,36,692
300,42,213
